institute_name, address1, address2, city, district, state, board, contact_no, email_address,category,branch_name
St. Tajuddin Convent School & Junior College,Umred Rd  Beside Shri Vittal Rao Ji Chamat Sanstha Shaishmik  Mauja Kharbi  Dighori Naka  Dighori  N,Dighori,Nagpur,Nagpur,Maharashtra,State,,,C,EAST CENTRE - NAGPUR
St. Anne's school  Warora,Warora,Warora,Warora,Chandrapur,Maharashtra,State,,,A,CHANDRAPUR CENTRE
Delhi Public School [D.P.S] ,DPS  49/2  Kranti Colony Rd  Saturna  Amravati  Maharashtra 444607,Amravati,AMRAVATI,AMRAVATI,Maharashtra,State,,,A+,AMRAVATI CENTRE
Shashvat Concept School,Shegaon - Rahatgaon Rd  Rahatgaon  Amravati,Shegaon - Rahatgaon Rd,AMRAVATI,AMRAVATI,Maharashtra,ICSE,,,A+,AMRAVATI CENTRE
Manosuman Public school,Paoni,Pauni,Pauni,Bhandara,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Pund Sir Tution Classess,Krishnarpan Colony  Sharda Vihar  Amravati,Krinsnarpan colony,AMRAVATI,AMRAVATI,Maharashtra,State,,,B,AMRAVATI CENTRE
Shivaji High School  Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Gadchiroli,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Arvind Indo School  Katol,Katol,Katol,Nagpur,Nagpur,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Sonal Agrawal Classes,Gondia,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
S.Chandra High School,Gondia,Sadak Arjuni,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Gour Sir Classes,Gondia,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
New Sita Public School,Deori,Deori,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Sai Classes (Mr. Varun Agrawal),Aamgaon,Aamgaon,Amgaon,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Riya Coachong Classes  Gondia,Gondia,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Gupta Mam Classes  Gondia,Gondia,Gondia,Gondia,Gondia,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Ekvira Public School Morshi,Morshi Chandur railway road Amravati,Morshi,MORSHI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
Mavande Sir Classes Daryapur,Daryapur Amravati,Daryapur Amravati,AMRAVATI,AMRAVATI,Maharashtra,State,,,A+,AMRAVATI CENTRE
Sangahai Boys English school Anjangaosurji ,Anjangaosurji ,Anjangaosurji ,AMRAVATI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
Sangahai Girls English School Anjangaosurji,Anjangaosurji ,Anjangaosurji,AMRAVATI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
SANSKAR INTERNATIONAL SCHOOL Paratwada,Amt. Road Partwada,Paratwada,ANJANGAON SURJI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
Nagar Parishad Chandur Railway,Chandur Railway,Chandur Railway,CHANDUR RAILWAY,AMRAVATI,Maharashtra,State,,,C,AMRAVATI CENTRE
Achievers classes,Dastur nagar  motinagar road,Dastur nagar  motinagar road,AMRAVATI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
CBSE Home Classes,Ganesh nagar near shankar nagar road,Ganesh nagar near shankar nagar road,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,A,AMRAVATI CENTRE
Zambani Madams Classes,Motinagar  rukmini nagar road  Amravati,Motinagar,AMRAVATI,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
Om Vidyaniketan School,Umrer,Umrer,Umred,Nagpur,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Sanskar Vidya Sagar,Umrer,Umrer,Umred,Nagpur,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Vidyaniketan English Medium School  Bhiwapur,Bhiwapur,Bhiwapur,Nagpur,Nagpur,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Jeevan Vikas Vidyalaya,Umrer,Umrer,Umred,Nagpur,Maharashtra,State,,,B,RESIDENTIAL CENTRE
ADARSH SANSKAR VIDYALAYA (CBSE)HUDKESHWAR,PIPLAFATA HUDKESHWAR NAGPUR,HUDKESHWAR,Nagpur,Nagpur,Maharashtra,CBSE,,,B,EAST CENTRE - NAGPUR
Podar International School  Katol Road,Near Asaram Bapu Ashram  Fetri  Katol Road  Nagpur  Maharashtra,Katol Road,Nagpur,Nagpur,Maharashtra,CBSE,7506319232,,A,SADAR CENTRE- NAGPUR
Demo Abhishek,demo address,Demo,Bhandara,Bhandara,Maharashtra,State,9096300320,abhishekahhi@gmail.com,A+,CHANDRAPUR CENTRE
School of Scholars  Wardha,Wardha,Sawangi (Meghe),Wardha,Wardha,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Jagyasi Coaching Classes, Wardha,Ram Nagar,Wardha,Wardha,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
St. Xaviers Cathedral School,Bishop's House Campus  Camp Road  near Dnyanmata school  Amravati,Amravati,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,A+,AMRAVATI CENTRE
Sevasadan Saksham School,N A Road  Sitabuldi  Nagpur,Nagpur,Nagpur,Nagpur,Maharashtra,CBSE,9822566996,,A,HEAD OFFICE -NAGPUR
Maloo International School ,Near Deshmukh Lawn Shegao naka road amravati ,Amravati,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,B,AMRAVATI CENTRE
Orchid City International School  Amravati,Navsari  To  Amravati Walgaon Road  Navsari  Amravati,Amravati,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,A+,AMRAVATI CENTRE
Shashvat Concept School,Shegaon - Rahatgaon Rd  Rahatgaon  Amravati,Amravati,AMRAVATI,AMRAVATI,Maharashtra,CBSE,,,A+,AMRAVATI CENTRE
Nagpur Public School  Teka Naka  Nagpur,786  Kamptee Rd  Near P.W.. College  Old Teka Naka  Teka Naka  Nagpur  Maharashtra 440026,Take Naka,Nagpur,Nagpur,Maharashtra,CBSE,7820939313,,B,SADAR CENTRE- NAGPUR
Orchids The International School - Koradi Road Nagpur,Bokhara Road Railway Crossing  Koradi Rd  Nagpur  Maharashtra 440023,Bokhara,Nagpur,Nagpur,Maharashtra,CBSE,8888888999,,A,SADAR CENTRE- NAGPUR
Podar International School  chandrapur,C. R. Puglia Nagar  Roshan Bagh  Datala Rd  Chandrapur ,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,8291924941,,A,CHANDRAPUR CENTRE
Vidya Vihar Convent High School  chandrapur,Biyani Nagar  Tukum  Chandrapur ,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,9423623823,,A,CHANDRAPUR CENTRE
Mount litra zee  school chandrapur,Datala road  ramanagar  chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,,,A,CHANDRAPUR CENTRE
Rajarshee Shahu English School  Chandur Railway,chandur railway,chandur railway,CHANDUR RAILWAY,AMRAVATI,Maharashtra,State,,,A,AMRAVATI CENTRE
Z P Madhyamik Vidyalaya Chandur Railway ,chandur railway,chandur railway,CHANDUR RAILWAY,AMRAVATI,Maharashtra,State,,,B,AMRAVATI CENTRE
Raje Madam,Bhandatra,Bhandara,Bhandara,Bhandara,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
School Of Brillants ,Ralegaon ,Ralegaon ,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
R.M. International School,Ralegaon ,Ralegaon ,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Vidya Niketan dadawadi CBSE  Chandrapur,highway  SH 264  Chandrapur - Nagpur Rd  Wadgaon  Chandrapur  ,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,9420300952,,A,CHANDRAPUR CENTRE
Sainik Public School  Wadki,Wadki,Wadki,Yavatmal,Yavatmal,Maharashtra,CBSE,9623317699,,A,RESIDENTIAL CENTRE
Pandharkawada Public School,Pandharkawada,Pandharkawada,Pandharkwada,Yavatmal,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Vivek Jyoti Gyan Peeth Convent  Balaghat,Balaghat,Balaghat,Balaghat,Balaghat,Madhya Pradesh,CBSE,,,A,RESIDENTIAL CENTRE
Sainik Public School,Wadki,Wadki,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Mount Litera Zee School,Balaghat,Balaghat Road,Balaghat,Balaghat,Madhya Pradesh,CBSE,,,A,RESIDENTIAL CENTRE
SPM High School Ghatanji,Ghatanji,Ghatanji,Yavatmal,Yavatmal,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Kendriya Vidyalaya Yavatmal ,Yavatmal ,Yavatmal ,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
J.C High School ,Karanja Lad,Karanja Lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vidyarambh School,Karanja Lad,Karanja Lad,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Blue Chip Convent ,Karanja Lad,Karanja Lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vedant Public School,Karanja Lad,Karanja Lad,Yavatmal,Yavatmal,Maharashtra,State,9767662179,,B,RESIDENTIAL CENTRE
Happy Faces The Concept School,Washim ,washim ,Yavatmal,Yavatmal,Maharashtra,State,,,A+,RESIDENTIAL CENTRE
Blossom School  CBSE  Kalamna  Nagpur,Bharatwada Road  Behind of Kalamna Market  Nagpur - 440035.,Kalamna,Kamptee,Nagpur,Maharashtra,CBSE,9373213830,,B,SADAR CENTRE- NAGPUR
Jajoo English Medium School ,Yavatmal ,Yavatmal ,Yavatmal,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Gawande Classes ,Washim ,washim ,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Octopus Science Academy ,Washim ,washim ,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vidyabharti English Medium School,Digras,Yavatmal ,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Wings Academy,Bramhapuri ,Bramhapuri ,Bramhapuri,Bramhapuri,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
The Achievers School, Waroda Village  Outer Ring Road  Nagpur  Maharashtra 441108,Waroda   Wardha road   Nagpur,Nagpur,Nagpur,Maharashtra,CBSE,,,B,CHATRAPATI SQUARE CENTRE
Asim Saraf central academy ,Tirora,Tirora,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
St. Joseph High School  Jaitala  Nagpur,Inside Fatima Church  Jaitala  Nagpur,Jaitala,Nagpur,Nagpur,Maharashtra,State,9730266190,,B,HEAD OFFICE -NAGPUR
Good Shephered english School,Seloo,Seloo,Wardha,Wardha,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Arvind indo public school  Narkhed,Narkhed,Narkhed,Nagpur,Nagpur,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Orange City School,Narkhed,Narkhed,Nagpur,Nagpur,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Evergreen Convent School  Narkhed,Narkhed,Narkhed,Nagpur,Nagpur,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Gurudev International Public School  Balaghat,WARSEONI BALAGHAT,Balaghat,Balaghat,Balaghat,Madhya Pradesh,CBSE,,,A+,RESIDENTIAL CENTRE
Tagore Montessori english School  Balaghat,Balaghat,Balaghat,Balaghat,Balaghat,Madhya Pradesh,State,,,A,RESIDENTIAL CENTRE
St Marry  Balaghat,Balaghat,Balaghat,Balaghat,Balaghat,Madhya Pradesh,CBSE,,,A,RESIDENTIAL CENTRE
Air Force School,Vayusena Nagar  Nagpur,Vayusena Nagar,Nagpur,Nagpur,Maharashtra,CBSE,,,A,HEAD OFFICE -NAGPUR
ERA English school,Pandarkauda,Pandarkauda,Pandharkwada,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Gurukul public school,Pandarkauda,Pandarkauda,Pandharkwada,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Dr.Yardy school,Pandarkauda,Pandarkauda,Pandharkwada,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Gurukul public school,Pandarkauda,Pandarkauda,Pandharkwada,Yavatmal,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
SPM convent,Arni,Arni,Arni,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
The world school,Washim,Washim,Washim,Akola,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Sun Rise school,Risod,Rwashim,Washim,Akola,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Podar school,Risod,Risod,Washim,Akola,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Ganga Maa vidya mandir,Risod,Risod,Washim,Akola,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Fairyland  School  Bhadrwadi  chandrapur,Gaurala  Bhadravati  Maharashtra 442902,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,,,A,CHANDRAPUR CENTRE
JC High school  Karanja Lad,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
JC convent school  Karanja Lad,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vidhyarambh school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vidhyarambh school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Vidhyarambh school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
JD chawre high school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
JD chawre high school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Kankubai High school,Karanja lad,Karanja lad,Yavatmal,Yavatmal,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Takkamore Science Academy ,Ramtek ,Ramtek ,Nagpur,Nagpur,Maharashtra,State,9595157311,,A,RESIDENTIAL CENTRE
Plus Point Academy ,Mansar,Mansar ,Nagpur,Nagpur,Maharashtra,State,9373981383,,A,RESIDENTIAL CENTRE
Dnyandeep Convent Ramtek ,Ramtek ,Ramtek ,Nagpur,Nagpur,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Banarasidas Ruiya High School,Katol,Katol,Katol,Nagpur,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Riverdale World School,Gondia,Balaghat Road,Gondia,Gondia,Maharashtra,CBSE,9852640597,,A,RESIDENTIAL CENTRE
Shree Swami Vivekanand School,Aamgaon,Amgaon,Amgaon,Gondia,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Sanskar High School  Gondia,Gondia,Gondia,Gondia,Gondia,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Star International School,Gondia,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Narayana Vidyalayam,Bokhara Road Railway Crossing  Koradi Rd  Nagpur  Maharashtra 440023,Bokhara,Nagpur,Nagpur,Maharashtra,CBSE,7066032541,nvkoradiroad@nesv.com,A+,SADAR CENTRE- NAGPUR
Mount Carmel convent  ghugus,Ghugus,Ghugus,Chandrapur,Chandrapur,Maharashtra,CBSE,,,A,CHANDRAPUR CENTRE
Regent High School  Hingna ,Hingna Rd  Opposite Sutgirni  Mahajan Wadi  Hingna  Nagpur  Maharashtra 441110,Hingna ,Nagpur,Nagpur,Maharashtra,State,9158773661,,C,HEAD OFFICE -NAGPUR
Rahi Public School  Jaitala  Nagpur,Zade lay out Jaitala Road Jaitala  Nagpur   Maharashtra 440036,Jaitala,Nagpur,Nagpur,Maharashtra,State,,,C,HEAD OFFICE -NAGPUR
Shangrila English School  Sangam  Hingna  Nagpur,Sangam  Hingna  Nagpur,Hingna,Nagpur,Nagpur,Maharashtra,State,,,C,HEAD OFFICE -NAGPUR
Gyanvardhini (Ghughare) Classes,Sahakar Nagar  Nagpur,Sahakar Nagar,Nagpur,Nagpur,Maharashtra,State,,,B,HEAD OFFICE -NAGPUR
Balaji Convent  Hingna  Nagpur,Balaji Nagar  Hingna Road       Hingna  Nagpur - 440016.,Balaji Nagar  Hingna  Nagpur,Nagpur,Nagpur,Maharashtra,State,,,C,HEAD OFFICE -NAGPUR
Mount Litera Zee School,Besa Ghogali ,BESA,Nagpur,Nagpur,Maharashtra,CBSE,9487656547,,A,EAST CENTRE - NAGPUR
Nehru Vidyalaya  Hingna  Nagpur,Hingna  Nagpur,Hingna,Nagpur,Nagpur,Maharashtra,State,,,C,HEAD OFFICE -NAGPUR
Future Foundation ,Balaghat,Balaghat,Balaghat,Balaghat,Madhya Pradesh,CBSE,,,A,RESIDENTIAL CENTRE
M B Patel High school  Deori,Deori,Deori,Gondia,Gondia,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Vasantrao Naik High school Warud ,Jarud,Jarud,AMRAVATI,AMRAVATI,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Skyline School  Sausar ,Sausar,Sausar,Chhindwara,Chhindwara,Madhya Pradesh,State,,,A,RESIDENTIAL CENTRE
Rekha madam  Warora,Warora,Warora,Chandrapur,Chandrapur,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
creative academy,opp nasare sabhagruha hudkeshwar road,hudkeshwar road,Nagpur,Nagpur,Maharashtra,CBSE,,,B,EAST CENTRE - NAGPUR
A+ amazing academy,hudkeshwar road opp nasare sabhagruha ,nagpur,Nagpur,Nagpur,Maharashtra,CBSE,9558467508,,C,EAST CENTRE - NAGPUR
nirmal  coaching classes,plot no 177 krishgandha chandrakiran nagar  hudkeshwar road,hudkeshwar road,Nagpur,Nagpur,Maharashtra,CBSE,7507491789,,B,EAST CENTRE - NAGPUR
Ramjyoti tution classes,govindprabhu nagar,nagpur,Nagpur,Nagpur,Maharashtra,State,9529724217,,C,EAST CENTRE - NAGPUR
swapnil tution classes,88 shrihari nagar  manewada ,nagpur,Nagpur,Nagpur,Maharashtra,CBSE,9423108908,,B,EAST CENTRE - NAGPUR
Green Hearts School  Anjangaon Surji,Near Vrundavan Palace  Paratwada Rd  Anjangaon Surji,Anjangaon Surji,ANJANGAON SURJI,AMRAVATI,Maharashtra,State,,,B,AMRAVATI CENTRE
ICON Tution Classes,Ramna Maroti Chitnis Nagar,Nagpur,Nagpur,Nagpur,Maharashtra,CBSE,9372018707,,B,EAST CENTRE - NAGPUR
Dream Tution Classes,Nandanwan Near  Sangam Hall ,Nandanwan,Nagpur,Nagpur,Maharashtra,State,7719974827,,B,EAST CENTRE - NAGPUR
K John Public School ,Besa ,Besa,Nagpur,Nagpur,Maharashtra,State,,,A,EAST CENTRE - NAGPUR
Ambition Tution Classes ,new shukrawari ,HUDKESHWAR,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Wisdom Tution Classes,new shukrawari ,New Shukrawari ,Nagpur,Nagpur,Maharashtra,State,9552458535,,B,EAST CENTRE - NAGPUR
Study Circle Point ,Hanuman nagar,Hanuman Nagar`,Nagpur,Nagpur,Maharashtra,State,9405918497,,B,EAST CENTRE - NAGPUR
Motghare Sanskrit Classes,Sakkardara Chowk,Sakkardara Chowk,Nagpur,Nagpur,Maharashtra,State,9405918497,,B,EAST CENTRE - NAGPUR
St. Vincent School ,Besa  opposite Jayanti Nagri 8 ,Besa,Nagpur,Nagpur,Maharashtra,State,9021507552,,B,EAST CENTRE - NAGPUR
Choudhary Tution Classes,Opposite of DDS Academy Hanuman Nagar,Hanuman Nagar,Nagpur,Nagpur,Maharashtra,State,8459339620,,B,EAST CENTRE - NAGPUR
Divine Providence School   Fetri  Nagpur,Fetri Nagpur - 441501,Fetri,Nagpur,Nagpur,Maharashtra,CBSE,8805582332,dpsfetri@gmail.com,B,SADAR CENTRE- NAGPUR
Saara Tution Classes,Chandan Nagar opposite Ramabai Ambedkar Ground,Medical,Nagpur,Nagpur,Maharashtra,CBSE,8412011700,,B,EAST CENTRE - NAGPUR
Shrinivas Public School  Seminary Hills  Nagpur,Katol Road  Opp Gayatri School  Manav Seva Nagar Nagpur  Nagpur  Maharashtra 440006,Seminary Hills,Nagpur,Nagpur,Maharashtra,CBSE,7122981087,shrinivasps2017@gmail.com,A,SADAR CENTRE- NAGPUR
Jupiter High School  Khamala  Nagpur,Khamala  Nagpur,Khamala ,Nagpur,Nagpur,Maharashtra,State,,,C,HEAD OFFICE -NAGPUR
Sunrise School,Rameshwari Road Shatabdi Square Jogi Nagar,Rameshwari,Nagpur,Nagpur,Maharashtra,State,9130954235,,B,EAST CENTRE - NAGPUR
Success Point High School,Rameshwari Ring Road Near Shatabdi Square ,Shatabdi Square,Nagpur,Nagpur,Maharashtra,State,,,B,EAST CENTRE - NAGPUR
Studious Tution Classes,Tukum  Chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,,,B,CHANDRAPUR CENTRE
Padmashree Coaching Classes,Chouhan Colony  Near Sarkar Nagar  Chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,9325897965,,B,CHANDRAPUR CENTRE
Yash Tution Classes,Near Mount Carmel Convent  Tukum  chandrapur ,chandrapur,Chandrapur,Chandrapur,Maharashtra,CBSE,9688631128,,B,CHANDRAPUR CENTRE
Vidya Tution Classes ,Chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,9834874154,,C,CHANDRAPUR CENTRE
Chalke Coaching Classes,Chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,7558219349,,B,CHANDRAPUR CENTRE
Ojas Sanskrit Classes,Ayodhya Nagar ,Ayodhya Nagar,Nagpur,Nagpur,Maharashtra,State,8329887901,,B,EAST CENTRE - NAGPUR
Pragati Tution Classes,Ayodhya Nagar ,Ayodhya Nagar,Nagpur,Nagpur,Maharashtra,CBSE,9822567825,,B,EAST CENTRE - NAGPUR
Dhanashree Tution Classes,Ayodhya Nagar ,Ayodhya Nagar,Nagpur,Nagpur,Maharashtra,State,9881556158,,A,EAST CENTRE - NAGPUR
Gurukul Eng Med  Pandharkawada  Ytl,Pandarkawada,Pandarkawada,Pandharkwada,Yavatmal,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Manas Coaching Classes,Gondia ,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Podar International School Chhindwara,Chhindwara,Chhindwara,Chhindwara,Chhindwara,Madhya Pradesh,CBSE,,,A+,RESIDENTIAL CENTRE
Gyan Ganga Public School Chhindwara,Chhindwara,Chhindwara,Chhindwara,Chhindwara,Madhya Pradesh,CBSE,,,A,RESIDENTIAL CENTRE
Step Up & SSS Coaching Classes,Gondia,Gondia,Gondia,Gondia,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Chauhan Academy,Civil Line  chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,,,B,CHANDRAPUR CENTRE
Shrisha Tution Classes,Civil Line  chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,,,B,CHANDRAPUR CENTRE
Visdom CLasses,Civil Line  chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,,,B,CHANDRAPUR CENTRE
Shreesai Tution Classes,Civil Line  chandrapur,chandrapur,Chandrapur,Chandrapur,Maharashtra,State,,,B,CHANDRAPUR CENTRE
Littile bird   School   Lakhani,Lakhani,Lakhani,Lakhni,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
New Orange City School  Warud,Warud,Warud,WARUD,AMRAVATI,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Shanti Niketan School,Warud,Warud,WARUD,AMRAVATI,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Jagrut Vidyalaya  Warud,Warud,w,WARUD,AMRAVATI,Maharashtra,State,,,B,RESIDENTIAL CENTRE
St. Anne's School  Mul,Mul,Mul,Mul,Chandrapur,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Kalpatru School  Sindewahi,Sindewahi,Sindewahi,Sindewahi/ Nawargaon,Chandrapur,Maharashtra,State,9421724490,,B,RESIDENTIAL CENTRE
Devyani School,Sindewahi,Sindewahi,Sindewahi/ Nawargaon,Chandrapur,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Janta Multi Purpose High School  Nagbhid,Nagbhid ,Nagbhid,Sindewahi/ Nawargaon,Chandrapur,Maharashtra,State,,,C,RESIDENTIAL CENTRE
Swami Vivekanand School  Mul,Mul,Mul,Mul,Chandrapur,Maharashtra,State,,,C,RESIDENTIAL CENTRE
Navbharat School  Mul,Mul,Mul,Mul,Chandrapur,Maharashtra,State,,,D,RESIDENTIAL CENTRE
Mount Convent School,Mul,Mul,Mul,Chandrapur,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Jawahar Navodaya Vidyalaya  Talodhi,Talodhi,Talodhi,Talodi,Chandrapur,Maharashtra,CBSE,,,A,RESIDENTIAL CENTRE
Vedant Public School  Karanja Lad,Karanja lad,Karanja Lad  Washim,Washim,Akola,Maharashtra,State,,,B,RESIDENTIAL CENTRE
Lokmanya Tilak High School,Bramhapuri,Bramhapuri  Chandrapur,Bramhapuri,Bramhapuri,Maharashtra,State,,,C,RESIDENTIAL CENTRE
Nisha Mam Classes,Ramdaspeth Beside Care Hospital,Ramdasprth,Nagpur,Nagpur,Maharashtra,CBSE,9763166522,,A,EAST CENTRE - NAGPUR
Nisha Mam Classes,Ramdaspeth Beside Care Hospital,Ramdasprth,Nagpur,Nagpur,Maharashtra,CBSE,9763166522,,A,EAST CENTRE - NAGPUR
Patil Academy,Revati Nagar  Besa Road Near Haldiram AM Cinema,Besa,Nagpur,Nagpur,Maharashtra,CBSE,,,A,EAST CENTRE - NAGPUR
St Vincent Palloti,Besa Road Near Pyramid City V,Besa Beltarodi Road,Nagpur,Nagpur,Maharashtra,CBSE,,,A,EAST CENTRE - NAGPUR
Sarang Mam Tuition,Bhandara,Bhandara,Bhandara,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Meritorious School Tiroda,Tiroda,Tiroda,Tirora,Gondia,Maharashtra,CBSE,,,A+,RESIDENTIAL CENTRE
Palatkar Tuition Classes,Bhandara,Bhandara,Bhandara,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Scholars Point Tuition ,Bhandara,Bhandara,Bhandara,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Fundde Sir Classes,Bhandara,Bhandara,Bhandara,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Manasvi coaching ,Bhandara,Bhandara,Bhandara,Bhandara,Maharashtra,State,,,A,RESIDENTIAL CENTRE
Lakhotiya public school,Kondhali,Kondhali,Nagpur,Nagpur,Maharashtra,CBSE,9764508083,,A,RESIDENTIAL CENTRE
Shinde madam,Kondhali,Kondhali,Nagpur,Nagpur,Maharashtra,CBSE,7875999206,,A,RESIDENTIAL CENTRE
